Country,ds,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
Cape Verde,1952-01-01,,,,,
Cayman Islands,1952-01-01,,,,,
Chile,1952-01-01,,,,,
China,1952-01-01,,,,,
Colombia,1952-01-01,,,,,
Cook Islands,1952-01-01,,,,,
Dominica,1952-01-01,,,,,
Dominican Republic,1952-01-01,,,,,
Ecuador,1952-01-01,,,,,
Falkland Islands,1952-01-01,,,,,
Fiji,1952-01-01,,,,,
French Guiana,1952-01-01,,,,,
French Polynesia,1952-01-01,,,,,
Georgia,1952-01-01,,,,,
Greenland,1952-01-01,,,,,
Grenada,1952-01-01,,,,,
Guadeloupe,1952-01-01,,,,,
Guam,1952-01-01,,,,,
Guyana,1952-01-01,,,,,
Jamaica,1952-01-01,,,,,
Jordan,1952-01-01,,,,,
Kazakhstan,1952-01-01,,,,,
Kosovo,1952-01-01,,,,,
Kuwait,1952-01-01,,,,,
Kyrgyzstan,1952-01-01,,,,,
Lebanon,1952-01-01,,,,,
Malaysia,1952-01-01,,,,,
Mauritius,1952-01-01,,,,,
Mayotte,1952-01-01,,,,,
Mexico,1952-01-01,,,,,
Micronesia (country),1952-01-01,,,,,
Moldova,1952-01-01,,,,,
Montserrat,1952-01-01,,,,,
New Caledonia,1952-01-01,,,,,
Niue,1952-01-01,,,,,
North Korea,1952-01-01,,,,,
North Macedonia,1952-01-01,,,,,
Palestine,1952-01-01,,,,,
Panama,1952-01-01,,,,,
Paraguay,1952-01-01,,,,,
Peru,1952-01-01,,,,,
Philippines,1952-01-01,,,,,
Qatar,1952-01-01,,,,,
Reunion,1952-01-01,,,,,
Russia,1952-01-01,,,,,
Saint Kitts and Nevis,1952-01-01,,,,,
Saint Lucia,1952-01-01,,,,,
Saint Vincent and the Grenadines,1952-01-01,,,,,
Samoa,1952-01-01,,,,,
Saudi Arabia,1952-01-01,,,,,
Seychelles,1952-01-01,,,,,
South Korea,1952-01-01,,,,,
Sri Lanka,1952-01-01,,,,,
Suriname,1952-01-01,,,,,
Syria,1952-01-01,,,,,
Thailand,1952-01-01,,,,,
Tokelau,1952-01-01,,,,,
Tonga,1952-01-01,,,,,
Trinidad and Tobago,1952-01-01,,,,,
Tunisia,1952-01-01,,,,,
Turkey,1952-01-01,,,,,
Turkmenistan,1952-01-01,,,,,
Turks and Caicos Islands,1952-01-01,,,,,
United Arab Emirates,1952-01-01,,,,,
Uzbekistan,1952-01-01,,,,,
Vanuatu,1952-01-01,,,,,
Venezuela,1952-01-01,,,,,
Vietnam,1952-01-01,,,,,
Wallis and Futuna,1952-01-01,,,,,
Albania,1953-01-01,,,,,
Anguilla,1953-01-01,,,,,
Armenia,1953-01-01,,,,,
Azerbaijan,1953-01-01,,,,,
Bahamas,1953-01-01,,,,,
Bahrain,1953-01-01,,,,,
Belize,1953-01-01,,,,,
Bosnia and Herzegovina,1953-01-01,,,,,
Brazil,1953-01-01,,,,,
British Virgin Islands,1953-01-01,,,,,
Brunei,1953-01-01,,,,,
Cape Verde,1953-01-01,,,,,
Cayman Islands,1953-01-01,,,,,
Chile,1953-01-01,,,,,
China,1953-01-01,,,,,
Colombia,1953-01-01,,,,,
Cook Islands,1953-01-01,,,,,
Dominica,1953-01-01,,,,,
Dominican Republic,1953-01-01,,,,,
Ecuador,1953-01-01,,,,,
Falkland Islands,1953-01-01,,,,,
Fiji,1953-01-01,,,,,
French Guiana,1953-01-01,,,,,
French Polynesia,1953-01-01,,,,,
Georgia,1953-01-01,,,,,
Greenland,1953-01-01,,,,,
Grenada,1953-01-01,,,,,
Guadeloupe,1953-01-01,,,,,
Guam,1953-01-01,,,,,
Guyana,1953-01-01,,,,,
Jamaica,1953-01-01,,,,,
Jordan,1953-01-01,,,,,
Kazakhstan,1953-01-01,,,,,
Kosovo,1953-01-01,,,,,
Kuwait,1953-01-01,,,,,
Kyrgyzstan,1953-01-01,,,,,
Lebanon,1953-01-01,,,,,
Malaysia,1953-01-01,,,,,
Mauritius,1953-01-01,,,,,
Mayotte,1953-01-01,,,,,
Mexico,1953-01-01,,,,,
Micronesia (country),1953-01-01,,,,,
Moldova,1953-01-01,,,,,
Montserrat,1953-01-01,,,,,
New Caledonia,1953-01-01,,,,,
Niue,1953-01-01,,,,,
North Korea,1953-01-01,,,,,
North Macedonia,1953-01-01,,,,,
Palestine,1953-01-01,,,,,
Panama,1953-01-01,,,,,
Paraguay,1953-01-01,,,,,
Peru,1953-01-01,,,,,
Philippines,1953-01-01,,,,,
Qatar,1953-01-01,,,,,
Reunion,1953-01-01,,,,,
Russia,1953-01-01,,,,,
Saint Kitts and Nevis,1953-01-01,,,,,
Saint Lucia,1953-01-01,,,,,
Saint Vincent and the Grenadines,1953-01-01,,,,,
Samoa,1953-01-01,,,,,
Saudi Arabia,1953-01-01,,,,,
Seychelles,1953-01-01,,,,,
South Korea,1953-01-01,,,,,
Sri Lanka,1953-01-01,,,,,
Suriname,1953-01-01,,,,,
Syria,1953-01-01,,,,,
Thailand,1953-01-01,,,,,
Tokelau,1953-01-01,,,,,
Tonga,1953-01-01,,,,,
Trinidad and Tobago,1953-01-01,,,,,
Tunisia,1953-01-01,,,,,
Turkey,1953-01-01,,,,,
Turkmenistan,1953-01-01,,,,,
Turks and Caicos Islands,1953-01-01,,,,,
United Arab Emirates,1953-01-01,,,,,
Uzbekistan,1953-01-01,,,,,
Vanuatu,1953-01-01,,,,,
Venezuela,1953-01-01,,,,,
Vietnam,1953-01-01,,,,,
Wallis and Futuna,1953-01-01,,,,,
Albania,1954-01-01,,,,,
Anguilla,1954-01-01,,,,,
Armenia,1954-01-01,,,,,
Azerbaijan,1954-01-01,,,,,
Bahamas,1954-01-01,,,,,
Bahrain,1954-01-01,,,,,
Belize,1954-01-01,,,,,
Bosnia and Herzegovina,1954-01-01,,,,,
Brazil,1954-01-01,,,,,
British Virgin Islands,1954-01-01,,,,,
Brunei,1954-01-01,,,,,
Cape Verde,1954-01-01,,,,,
Cayman Islands,1954-01-01,,,,,
Chile,1954-01-01,,,,,
China,1954-01-01,,,,,
Colombia,1954-01-01,,,,,
Cook Islands,1954-01-01,,,,,
Dominica,1954-01-01,,,,,
Dominican Republic,1954-01-01,,,,,
Ecuador,1954-01-01,,,,,
Falkland Islands,1954-01-01,,,,,
Fiji,1954-01-01,,,,,
French Guiana,1954-01-01,,,,,
French Polynesia,1954-01-01,,,,,
Georgia,1954-01-01,,,,,
Greenland,1954-01-01,,,,,
