Country,ds,y_tr,y_repr_tr,adjusted_val,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
El Salvador,1952-01-01,43.7,41.0,2.700000000000003,,,,,
Gabon,1952-01-01,41.0,41.0,0.0,,,,,
Ghana,1952-01-01,44.1,41.0,3.1000000000000014,,,,,
Guatemala,1952-01-01,40.9,41.0,-0.10000000000000142,,,,,
Honduras,1952-01-01,43.3,41.0,2.299999999999997,,,,,
India,1952-01-01,42.0,41.0,1.0,,,,,
Indonesia,1952-01-01,40.7,41.0,-0.29999999999999716,,,,,
Iran,1952-01-01,39.6,41.0,-1.3999999999999986,,,,,
Iraq,1952-01-01,42.2,41.0,1.2000000000000028,,,,,
Kenya,1952-01-01,38.9,41.0,-2.1000000000000014,,,,,
Kiribati,1952-01-01,45.8,41.0,4.799999999999997,,,,,
Libya,1952-01-01,33.3,41.0,-7.700000000000003,,,,,
Maldives,1952-01-01,37.0,41.0,-4.0,,,,,
Marshall Islands,1952-01-01,52.3,41.0,11.299999999999997,,,,,
Mauritania,1952-01-01,39.8,41.0,-1.2000000000000028,,,,,
Mongolia,1952-01-01,39.7,41.0,-1.2999999999999972,,,,,
Morocco,1952-01-01,39.7,41.0,-1.2999999999999972,,,,,
Myanmar,1952-01-01,37.5,41.0,-3.5,,,,,
Namibia,1952-01-01,42.4,41.0,1.3999999999999986,,,,,
Nauru,1952-01-01,57.1,41.0,16.1,,,,,
Nicaragua,1952-01-01,41.8,41.0,0.7999999999999972,,,,,
Oman,1952-01-01,30.5,41.0,-10.5,,,,,
Pakistan,1952-01-01,37.4,41.0,-3.6000000000000014,,,,,
Palau,1952-01-01,53.1,41.0,12.100000000000001,,,,,
Papua New Guinea,1952-01-01,40.4,41.0,-0.6000000000000014,,,,,
Sao Tome and Principe,1952-01-01,40.2,41.0,-0.7999999999999972,,,,,
Solomon Islands,1952-01-01,41.3,41.0,0.29999999999999716,,,,,
South Africa,1952-01-01,45.1,41.0,4.100000000000001,,,,,
Tajikistan,1952-01-01,51.4,41.0,10.399999999999999,,,,,
Tuvalu,1952-01-01,38.3,41.0,-2.700000000000003,,,,,
Zimbabwe,1952-01-01,50.2,41.0,9.200000000000003,,,,,
Algeria,1953-01-01,42.9,41.8,1.1000000000000014,,,,,
Bangladesh,1953-01-01,39.9,41.8,-1.8999999999999986,,,,,
Bolivia,1953-01-01,41.2,41.8,-0.5999999999999943,,,,,
Botswana,1953-01-01,46.5,41.8,4.700000000000003,,,,,
Congo,1953-01-01,42.2,41.8,0.4000000000000057,,,,,
Egypt,1953-01-01,38.8,41.8,-3.0,,,,,
El Salvador,1953-01-01,44.3,41.8,2.5,,,,,
Gabon,1953-01-01,41.8,41.8,0.0,,,,,
Ghana,1953-01-01,44.6,41.8,2.8000000000000043,,,,,
Guatemala,1953-01-01,41.1,41.8,-0.6999999999999957,,,,,
Honduras,1953-01-01,43.8,41.8,2.0,,,,,
India,1953-01-01,42.2,41.8,0.4000000000000057,,,,,
Indonesia,1953-01-01,41.4,41.8,-0.3999999999999986,,,,,
Iran,1953-01-01,40.0,41.8,-1.7999999999999972,,,,,
Iraq,1953-01-01,43.7,41.8,1.9000000000000057,,,,,
Kenya,1953-01-01,40.3,41.8,-1.5,,,,,
Kiribati,1953-01-01,45.9,41.8,4.100000000000001,,,,,
Libya,1953-01-01,33.5,41.8,-8.299999999999997,,,,,
Maldives,1953-01-01,36.5,41.8,-5.299999999999997,,,,,
Marshall Islands,1953-01-01,52.5,41.8,10.700000000000003,,,,,
Mauritania,1953-01-01,40.2,41.8,-1.5999999999999943,,,,,
Mongolia,1953-01-01,39.8,41.8,-2.0,,,,,
Morocco,1953-01-01,40.0,41.8,-1.7999999999999972,,,,,
Myanmar,1953-01-01,38.5,41.8,-3.299999999999997,,,,,
Namibia,1953-01-01,43.0,41.8,1.2000000000000028,,,,,
Nauru,1953-01-01,57.3,41.8,15.5,,,,,
Nicaragua,1953-01-01,42.4,41.8,0.6000000000000014,,,,,
Oman,1953-01-01,31.0,41.8,-10.799999999999997,,,,,
Pakistan,1953-01-01,38.5,41.8,-3.299999999999997,,,,,
Palau,1953-01-01,53.3,41.8,11.5,,,,,
Papua New Guinea,1953-01-01,41.1,41.8,-0.6999999999999957,,,,,
Sao Tome and Principe,1953-01-01,40.4,41.8,-1.3999999999999986,,,,,
Solomon Islands,1953-01-01,42.1,41.8,0.30000000000000426,,,,,
South Africa,1953-01-01,46.0,41.8,4.200000000000003,,,,,
Tajikistan,1953-01-01,51.6,41.8,9.800000000000004,,,,,
Tuvalu,1953-01-01,39.2,41.8,-2.5999999999999943,,,,,
Zimbabwe,1953-01-01,50.6,41.8,8.800000000000004,,,,,
Algeria,1954-01-01,40.2,42.2,-2.0,,,,,
Bangladesh,1954-01-01,41.2,42.2,-1.0,,,,,
Bolivia,1954-01-01,41.4,42.2,-0.8000000000000043,,,,,
Botswana,1954-01-01,47.1,42.2,4.899999999999999,,,,,
Congo,1954-01-01,42.8,42.2,0.5999999999999943,,,,,
Egypt,1954-01-01,40.4,42.2,-1.8000000000000043,,,,,
El Salvador,1954-01-01,44.9,42.2,2.6999999999999957,,,,,
Gabon,1954-01-01,42.4,42.2,0.19999999999999574,,,,,
Ghana,1954-01-01,45.1,42.2,2.8999999999999986,,,,,
Guatemala,1954-01-01,41.2,42.2,-1.0,,,,,
Honduras,1954-01-01,44.2,42.2,2.0,,,,,
India,1954-01-01,43.0,42.2,0.7999999999999972,,,,,
Indonesia,1954-01-01,42.2,42.2,0.0,,,,,
Iran,1954-01-01,40.6,42.2,-1.6000000000000014,,,,,
Iraq,1954-01-01,45.2,42.2,3.0,,,,,
Kenya,1954-01-01,41.7,42.2,-0.5,,,,,
